Index	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22
T30234373	0.81566885	0.684553661	0.808100222	0.627361054	-1048	3145	3580	7070	-8999	9545022115	-5119330229	-3806909219	4017911398	9863600448	1/31/1986	12/21/1988	1	1	577	296	14	5
T30234374	0.954101799	0.764591569	0.773404702	0.423935864	3709	7539	9244	-148	2336	741987194	-442583367	-8176142131	-1861997593	6032269059	6/30/1993	9/22/1985	1	1	55	52	21	1
T30234375	0.235702458	0.482231019	0.931575603	0.687274209	-7826	444	-2389	-1581	-4111	3862027693	-4535728406	7879829776	3276084617	-8926727669	4/5/1993	10/26/1993	1	2	11	705	2	10
T30234376	0.019439924	0.473191919	0.635216039	0.771114728	8944	65	9373	6013	2663	-9375870412	7830881294	-8907027705	4531866073	-9182825070	2/10/1983	6/3/1988	1	1	111	362	21	5
T30234377	0.3089866	0.773702854	0.024682557	0.369733005	5787	-609	3455	1560	6385	8511087059	8861528934	8947841105	-7229705602	-499173653	3/17/1993	10/1/1986	1	1	186	600	2	2
T30234378	0.643920273	0.750458941	0.301042543	0.234079002	8679	7939	7168	4214	-2370	4318164861	7020080146	5207836988	2984266175	-5961665998	2/24/1985	1/20/1993	1	1	565	347	2	9
T30234379	0.349280365	0.797665287	0.859942444	0.7615427	-3441	6848	-5212	-9910	2972	4786281804	1932278317	8943767778	570663068	-4659479716	7/9/1983	3/29/1990	2	1	707	597	6	8
T30234380	0.881646929	0.071770731	0.181069184	0.846683271	5096	-3129	4652	-5852	-3114	-2450535556	747703720	5407370859	-1616590363	1650728273	11/30/1995	10/18/1994	4	1	815	163	2	2
T30234381	0.167894158	0.519752711	0.229060341	0.833576381	-5059	-8214	4100	653	-6120	1936657260	2928737027	-579967267	181362954	-2147629308	8/15/1987	3/2/1987	1	2	12	701	19	5
T30234382	0.439940031	0.615352101	0.009686038	0.266422101	1042	-308	-9609	-8749	-1530	-3327389492	-9522898004	2012228532	-7094575804	5260175800	11/27/1983	1/7/1988	1	1	172	464	4	5
T30234383	0.921740642	0.869797798	0.569186709	0.677487436	-8811	-2830	-2047	-1528	6663	-3189708596	9103041982	-997583959	7521539779	-75549033	3/8/1990	6/13/1986	6	1	901	455	3	1
T30234384	0.932759751	0.114945586	0.998106063	0.776510291	-420	3990	-7343	8188	4475	-8475996233	-2613145033	-4153255729	-8311216334	8124543105	9/16/1987	3/11/1991	1	1	333	581	3	2
T30234385	0.894537049	0.108331809	0.875410612	0.69580786	4627	-4452	367	217	9976	4669702689	-9368585218	9085110417	-9726078011	-1333736710	8/21/1987	2/19/1993	6	1	901	482	8	3
T30234386	0.767682395	0.568582958	0.564666367	0.351178439	-3629	-9249	-5174	7421	2413	1886992728	-113865759	-5708589431	-4360670176	-1274967917	9/28/1993	9/24/1993	2	1	708	438	4	1
T30234387	0.337083983	0.432903966	0.020079206	0.155795155	-7735	-3926	5400	-6711	-7920	-6412239637	6443386413	-3902079518	9161397618	-7220542560	4/9/1984	10/1/1992	1	1	550	474	21	1
T30234388	0.936396323	0.042176711	0.246358374	0.627811006	-6222	5442	9265	3456	1671	5213879746	-7626924127	-3776746048	-9731584829	2493146266	9/25/1985	8/1/1995	1	2	364	704	1	1
T30234389	0.664851085	0.705880734	0.121167945	0.901908327	4503	-423	-9381	-8179	-4271	2362900272	-1026422022	6383351478	6833686039	4945373838	10/13/1985	8/2/1992	1	1	589	359	1	3
T30234390	0.534296473	0.25790028	0.756593635	0.292239193	-4837	-7382	-3437	-8995	2439	3392767229	-674787627	-4488860819	-4447754355	7508742862	2/29/1988	11/29/1989	1	1	462	16	1	6
T30234391	0.475633822	0.194884764	0.972324556	0.644994803	3252	-5072	-5286	-4740	1522	1535433662	58077095	4190406045	-4143981430	9732362402	2/1/1988	8/2/1989	1	1	435	548	8	10
T30234392	0.585327361	0.379472475	0.655999727	0.300175597	-2784	3275	-7864	-6150	9499	-484914050	-4158059156	-3985429584	-410289493	-4075422785	3/12/1983	1/1/2001	1	1	33	294	9	6
T30234393	0.988530894	0.703149032	0.547732277	0.360894775	3272	-4206	-9473	-1982	2843	-1709165131	7392202119	-1310639547	7757056603	-3730244025	2/1/1989	7/8/1996	2	1	702	104	1	3
T30234394	0.700776562	0.642835231	0.696845769	0.621650768	8616	-6353	4751	-8423	6093	1754806499	5314098540	-302637527	4050588670	-42805743	3/5/1986	11/22/1989	1	2	201	710	2	3
T30234395	0.455862967	0.122104979	0.998034444	0.921588716	5229	-1506	4324	-7178	-3061	1155441511	150115760	9174506954	-9701811195	3382953513	8/11/1984	7/14/1991	1	1	240	161	15	15
T30234396	0.887690924	0.816609123	0.243796936	0.55226947	103	3255	-9826	-8677	-5064	-842869482	-2460369621	-5684307417	-8736129575	-1236085881	10/20/1984	9/10/1985	1	1	42	47	21	8
T30234397	0.88341625	0.563993968	0.778722808	0.202332733	4303	1476	2302	2790	-2134	4519357592	-5771463926	-6254075805	6293887360	8130528567	12/31/1985	3/4/1995	1	1	249	528	1	1
T30234398	0.152899395	0.084502294	0.015506664	0.611154867	-5394	-7861	8720	5692	4604	6991249038	8093455217	-4161373889	-5310933636	9590211075	6/12/1987	7/8/1988	1	1	228	230	2	2
T30234399	0.620373083	0.142440699	0.574808577	0.989082079	-3446	4277	2433	-4701	-3610	1786491140	1564439689	-4225877776	-2034146349	9814670738	5/22/1993	5/17/1992	1	1	438	181	1	9
T30234400	0.493965727	0.615081281	0.079582557	0.960093991	-1843	32	7919	1821	7800	-2274101805	8378777424	-9787646362	2298514346	1061014146	12/31/1986	8/29/1993	2	1	702	337	1	1
T30234401	0.261159673	0.332558685	0.499792992	0.272605724	7284	-7504	-5653	-1724	2847	8011191463	1665098919	8036974377	1809058425	1422546916	9/24/1986	1/25/1992	1	1	39	286	21	1
T30234402	0.369303196	0.158461042	0.647146832	0.811871522	-5038	965	7611	5910	6384	-3208304566	-9389309893	-4180439024	3672119250	-2675172877	10/1/1988	11/6/1990	2	1	701	257	1	10
T30234403	0.150411355	0.182248928	0.818576435	0.723782414	-8426	-9636	-7045	2852	-7694	-8547076094	-8180673629	8225325591	-1557942478	-5050169583	9/30/1987	7/15/1992	1	1	60	47	9	1
T30234404	0.503398462	0.565940452	0.147342818	0.965263034	-9846	-1952	-2368	-2106	-4123	-1719384259	7831666985	9038595980	-4056873490	3948919405	10/24/1989	1/25/1989	1	4	532	815	3	15
T30234405	0.286003836	0.074309169	0.250799815	0.876973642	-8567	-5263	-7721	-6451	-1615	1245020873	-5142071900	9190005429	-8775484564	7511485823	12/14/1993	2/11/1989	1	1	391	153	1	1
T30234406	0.134821006	0.669160788	0.013170412	0.962595986	81	-2071	4596	6792	3530	1351261303	4650433072	2116481577	797650997	254267075	7/31/1990	5/21/1991	1	1	390	198	1	3
T30234407	0.586968294	0.048623997	0.817963734	0.236669053	5535	-6173	4122	-2145	7260	-177994112	-4239069021	3327770470	1795493804	-1554222350	2/6/1993	8/31/1984	1	4	322	809	1	2
T30234408	0.503073822	0.227512427	0.107171866	0.68229845	-7226	-7453	7760	5720	8859	9118365968	3647553641	-1919974305	3379280828	-5208555628	1/27/1987	12/6/1990	1	1	469	580	6	7
T30234409	0.612561543	0.16815806	0.956144057	0.33761474	-2463	-8532	6525	8495	-9847	-2019641344	-6517787481	-2259576684	6556805502	-758008913	4/11/1988	8/26/1991	1	1	344	204	1	1
T30234410	0.798776737	0.631240258	0.884459865	0.35393827	-7058	7088	3028	-2573	-3252	5482943447	2056570340	-7289773881	4815732213	6109891630	12/27/1988	4/29/1993	1	4	550	804	2	1
T30234411	0.141946063	0.326756857	0.741440135	0.267228506	7814	9933	-7542	3937	5635	-7398866062	1925292395	6895815607	925435102	-2587121564	6/16/1989	6/23/1994	1	2	216	702	1	5
T30234412	0.093998089	0.443463757	0.540443847	0.20381994	-3656	-1677	-6810	2644	2523	4606849715	211332282	2629257057	2754367781	-2575880507	10/13/1979	1/26/1990	1	2	265	708	2	1
T30234413	0.816279987	0.472237519	0.086030403	0.29737911	-6825	3360	-4796	6699	1656	-6197543804	-705612293	8721951465	7090965182	-5881833689	9/1/1992	9/10/1990	1	1	340	351	5	2
T30234414	0.916563987	0.781087811	0.290035038	0.366435859	-7683	-8847	-8774	-2536	2108	690230374	-4846257337	6283417412	-4064662799	-1714332277	1/5/1988	3/17/1995	1	1	296	87	1	10
T30234415	0.93419546	0.992496635	0.938536974	0.091715698	7904	-6923	-2725	-8785	-3882	-1757612121	5681624862	3216880683	-9761491569	2165116895	1/16/1992	8/28/1987	1	1	118	53	3	10
T30234416	0.463965717	0.556405224	0.851828997	0.017843514	6001	-4357	8898	-9513	-8424	-5107933937	1141333400	-5120589867	-9237072147	8355998108	8/21/1991	11/6/1990	6	1	901	131	4	1
T30234417	0.407738461	0.056435543	0.716619831	0.494961148	521	-6374	654	-4010	-9064	-2441539365	7083277403	789640659	614876414	5726772077	7/15/1981	4/16/1996	3	1	769	6	2	11
T30234418	0.627290198	0.382047128	0.596719683	0.120563038	-8137	2055	4234	9689	-3153	3229495158	1907294171	8926918363	-5847672687	2645959501	5/23/1986	9/8/1994	1	1	495	372	1	9
T30234419	0.32166385	0.303301519	0.065914347	0.333071112	-3508	1315	9002	8031	-1951	3927752808	4310980323	-6441477789	9256997799	6440121876	3/6/1991	12/23/1992	1	1	475	470	8	7
T30234420	0.803722553	0.740582667	0.480567616	0.19151841	-5397	-4962	6764	1431	-8426	-6822851499	2285020852	3333085678	3984379908	7208552454	9/15/1987	12/12/1993	2	1	702	455	1	9
T30234421	0.031164994	0.584308029	0.820633099	0.34393651	7777	1977	-8185	3806	76	8639011486	-4411520937	-2562871998	-2324382475	-2175143744	2/12/1978	4/18/1987	1	6	280	901	1	2
T30234422	0.603066946	0.014549022	0.081693293	0.493292906	2890	5334	8698	-1220	-5721	7040349859	-3431965974	2958236276	-3804047359	-640469471	5/28/1987	5/30/1996	1	6	364	901	1	10
T30234423	0.84062829	0.517541231	0.044681982	0.124228979	-1283	-2310	8082	7068	-798	707483694	2980941234	3186262593	-3976396073	-4271014086	3/11/1986	7/10/1990	1	1	346	26	8	6
T30234424	0.761409927	0.454775503	0.208146506	0.221934534	271	1855	-4108	-3742	-9826	6357164967	3633169671	-2000466839	7952322337	-3447294401	1/31/1990	1/20/1993	1	1	447	393	8	9
T30234425	0.256942813	0.829441993	0.57781179	0.415192405	786	8977	5848	2214	-3638	7828792213	-1405275607	5061639819	5086488017	8072815612	5/1/1986	3/10/1994	1	1	505	337	8	10
T30234426	0.75826003	0.332696085	0.422218502	0.974000847	7371	-8350	7629	5686	-3488	5114847919	3827100283	-7571929775	-4063769877	-2772627162	11/25/1991	6/28/1992	2	1	708	335	7	1
T30234427	0.158506416	0.612791975	0.537260854	0.807699842	4300	-2802	-4953	-5667	6942	-5425433969	1190849483	9103415839	7971211307	508828606	6/21/1984	1/29/1992	1	2	512	708	1	1
T30234428	0.79253965	0.04415091	0.262115624	0.601238009	6502	4613	-3113	121	-7094	2708092837	3459822530	-9593453405	897248437	-4843021494	3/13/1987	5/12/1991	1	1	445	192	8	9
T30234429	0.10494563	0.40387644	0.70205145	0.732844537	-5311	-6706	5474	9668	5033	5770957864	5600126944	7500202025	-8075101932	-3779370891	9/22/1985	1/1/1991	1	1	557	262	1	6
T30234430	0.528936557	0.770238712	0.966870762	0.976423795	6197	1459	-9819	720	7446	-3700121849	-170259617	-8213217666	7401862881	-338179952	9/20/1989	11/27/1994	1	2	537	705	1	6
T30234431	0.464384389	0.77795718	0.642988762	0.990799331	9564	1668	-5224	-3128	8251	5087842232	-5281425204	8135111753	1832587938	3725089581	2/10/1987	12/16/1993	1	2	45	701	17	1
T30234432	0.347066161	0.115706513	0.014386361	0.539158378	-5620	6511	-5694	1165	8585	6845917997	2786292358	5154009758	-4581971025	8310698509	1/10/1989	6/18/1987	1	1	575	509	1	2
T30234433	0.617716198	0.25752861	0.814945586	0.665464197	6658	5666	-1386	7529	-4922	1330069177	-1070011546	-8932777577	5681832000	7011565731	3/24/1983	11/29/1990	1	1	541	471	1	2
T30234434	0.56744829	0.271574399	0.467593434	0.283678867	3141	6593	-5346	2763	5956	-7973585276	-9634586344	6405266921	-9698770351	-3666177569	8/10/1987	8/13/1992	1	6	111	901	1	8
T30234435	0.003531792	0.213473945	0.903070025	0.300632092	-8182	275	-7396	-8114	-1938	-7162161660	-80149506	-8617116594	-9167558988	1954088940	10/28/1983	7/12/1991	2	1	708	219	7	1
T30234436	0.750913518	0.522977454	0.987318805	0.130204552	2336	9209	-3705	5840	3352	-3873759032	1209286681	-7403688670	-1556324421	-7953305387	3/10/1987	5/4/1989	1	6	592	901	1	21
T30234437	0.992439956	0.866155979	0.252728696	0.043055207	7017	7022	-9856	284	6227	9421388208	-1525667036	8595372349	-1839852181	-156795888	1/24/1990	9/9/1987	1	1	43	81	1	5
T30234438	0.028202062	0.298522252	0.155767423	0.448887594	6519	7665	-1882	1961	-2056	-6734317062	3793953516	-6265793369	7702016607	6604120188	3/13/1989	10/25/1988	3	1	753	286	2	1
T30234439	0.542044038	0.311610747	0.701976948	0.682431024	6659	-7255	-3421	3076	4028	4749409804	1864552254	-5712976710	4975812985	5873735825	3/19/1993	4/29/1989	1	1	477	60	1	1
T30234440	0.760354238	0.422750023	0.936131497	0.865951095	8419	-3355	6292	-7444	7877	3247519995	1553225055	-6390733506	5705874628	-3496294985	11/11/1986	8/6/1994	1	2	392	708	6	13
T30234441	0.37893805	0.461787026	0.448572752	0.974475335	-4960	9255	-6871	2005	-5921	-7170899626	-7914003040	-4672232888	9040219385	4666545391	5/17/1992	6/15/1989	2	1	704	63	1	6
T30234442	0.321416867	0.588639547	0.642950986	0.4868856	-8972	-3623	-8364	-2223	-6190	1712785923	9245522482	-6312102619	175734829	-7210099767	7/25/1984	8/5/1995	1	2	412	708	4	14
T30234443	0.379555118	0.721437652	0.711506193	0.207903172	3515	-491	-7143	-9632	4312	9230308220	-6508181419	753654999	-6110580175	5890990362	3/22/1978	4/24/1990	1	1	31	508	1	8
T30234444	0.170336175	0.231601251	0.234441914	0.267171317	3630	3761	4172	-292	-1139	3285450785	4848314731	1489728675	-1679763823	-6304137479	10/29/1993	9/19/1990	1	3	241	756	21	4
T30234445	0.195062521	0.021281747	0.810561256	0.471401554	7804	1894	6949	-4786	6719	-1083030806	2727588694	-9036623528	2018430900	3725853025	11/18/1985	5/28/1996	1	1	320	551	1	1
T30234446	0.888886305	0.103086731	0.837871419	0.186241411	-2602	-5629	1652	-6312	-2864	-3427027375	-7087422787	-9106037125	1815245480	-6976683876	11/19/1988	1/28/1991	1	1	516	341	10	10
T30234447	0.355413738	0.409694392	0.035267662	0.898633357	6007	-2790	-6387	8646	1603	3701539904	7363671357	-2992565737	3154818177	2948613764	4/5/1992	6/9/1990	1	2	336	704	1	17
T30234448	0.210729505	0.793676391	0.899794663	0.162673581	-5601	2394	334	8266	-5255	-8070324537	790798743	1374356213	-5835742060	-2176704188	1/24/1986	9/1/1988	1	2	73	707	5	4
T30234449	0.033387695	0.710636873	0.565638842	0.30141405	5740	-5156	3645	-7630	-5657	7421841598	-6145646269	7185129072	700343377	-9292924229	5/28/1985	4/13/1990	1	1	234	50	4	1
T30234450	0.109963284	0.54358039	0.805363331	0.529231349	6714	-9795	8400	3344	-8591	5368894405	-6336759980	9788872737	7144601664	-247346455	6/20/1987	7/9/1987	1	1	484	552	1	1
T30234451	0.305841224	0.603480826	0.176941923	0.941439761	-8373	-8681	-4028	-5205	9379	-693231781	2684228390	-5019600986	-8057100114	6125439440	1/16/1992	4/9/1989	1	1	298	189	1	3
T30234452	0.501914649	0.573494667	0.195346389	0.736718341	9158	7074	1130	5799	-4679	-7447176981	5169397745	9053922098	-5412493643	-226548640	2/4/1986	10/28/1995	1	1	580	132	9	10
T30234453	0.424651557	0.360170075	0.83517755	0.753261747	6603	2390	-3287	-4605	9417	2563677360	-8785433383	-1091717976	6510581966	2182043868	2/15/1995	10/16/1988	1	2	265	706	1	1
T30234454	0.277925254	0.566837302	0.407636292	0.083182281	-2944	715	349	9542	7935	-478000608	-9639848150	-6407637149	-1020059998	-1723828365	1/20/1991	11/14/1992	1	1	333	12	4	1
T30234455	0.857104505	0.519750136	0.060562874	0.633330484	2132	8157	-806	-2653	5650	1627350752	6721476311	-2159322805	3358337523	-1000833942	8/18/1989	6/11/1994	1	2	429	703	14	2
T30234456	0.689233746	0.394569165	0.632961332	0.55732479	9380	445	-366	9389	4379	-8521608251	-1899459895	1188001388	-1191517357	5379390750	7/11/1991	2/16/1985	1	1	422	94	1	3
T30234457	0.42197752	0.507353113	0.712764332	0.052390302	-2799	3598	4469	8293	1469	7952919625	-3354223196	-9594237107	-7294477515	4034354970	10/25/1989	3/16/1993	1	3	255	756	1	1
T30234458	0.106883686	0.835125051	0.963931772	0.358045783	-8851	-324	-2962	8252	4609	9877878779	9852652535	-9075364603	-7557098678	3928350644	10/23/1989	2/16/1990	1	1	89	428	1	1
T30234459	0.926582209	0.828008413	0.955056242	0.859347511	8514	413	-366	-4132	-281	-6825768684	-9119702577	1922265733	5174537620	6571797690	6/27/1985	3/29/1987	1	1	461	598	7	10
T30234460	0.36218518	0.462302343	0.489463016	0.999613445	9635	-8265	7197	-3804	5858	1277892669	4028614920	2572558715	4523771116	1223012734	9/4/1985	7/3/1991	1	1	229	477	10	1
T30234461	0.788308602	0.133761139	0.667334315	0.743667688	407	1226	-7032	-59	4511	-8604722086	-5264934044	9271140004	825927480	-3211855373	2/6/1988	11/4/1988	1	1	253	133	5	8
T30234462	0.89881937	0.861566973	0.498281117	0.122339812	-2546	1964	-4619	2591	-9373	-8992904457	5643120211	-809843218	-8462362394	-1608110509	11/11/1983	5/4/1996	1	1	570	472	6	12
T30234463	0.738611695	0.903953325	0.773284694	0.293690284	-9548	-6569	3763	9412	5235	1330503474	-2878101049	9675462355	-3117726908	-170767788	6/26/1983	10/22/1986	1	1	326	176	1	1
T30234464	0.716495205	0.742446835	0.614574643	0.014219313	-7140	4371	-6026	-5745	-1617	790905355	9845690682	-8922000281	-7045256954	-3254943260	9/2/1994	4/23/1988	2	1	707	233	1	3
T30234465	0.221416309	0.72652086	0.971533407	0.896827588	2454	8845	-2846	3840	-8379	1655426793	4507452584	-5212044943	-9675151332	-9202898691	11/2/1982	1/17/1993	1	1	556	345	4	1
T30234466	0.32661179	0.464782528	0.655208698	0.724277049	-4624	-2908	6382	2024	2114	6282671924	3667197123	5477835368	1611449863	-964034158	4/27/1985	2/13/1995	2	1	702	10	5	1
T30234467	0.792993042	0.280948358	0.967173656	0.327776684	8445	9560	3272	-249	-2467	4364075964	-2411552693	818995371	-6015703633	1540529393	2/27/1984	5/6/1991	1	1	374	149	7	1
T30234468	0.657769899	0.095290642	0.615874438	0.325479163	1696	-9118	1757	4647	106	9062907479	9457992005	1023808594	-4379308318	-3541083975	7/21/1982	11/9/1986	1	1	372	436	1	1
T30234469	0.333933026	0.793474653	0.929892918	0.801180875	4523	-7279	6415	9313	-8281	-8733017812	3645685097	9601876907	838784580	2159124544	3/31/1988	7/29/1986	1	1	123	191	12	6
T30234470	0.890234872	0.285961043	0.98854171	0.941218902	8151	2210	7638	-3804	-5590	8946529228	-3610301220	4462838558	-7483615356	-5709247066	1/31/1987	7/4/1985	1	1	23	558	1	1
T30234471	0.369254166	0.80932699	0.704427952	0.725857682	1916	-6780	-8547	9025	-6834	97720739	3990702712	-3819961130	-2835696687	2922903669	11/28/1992	9/21/1995	2	1	710	341	1	4
T30234472	0.953831438	0.053801933	0.71233687	0.735402451	-3777	354	6918	-6276	9317	-8226336274	-8843887397	9040251563	5337912169	-436094673	4/25/1989	4/18/1996	1	1	178	563	1	1
T30234473	0.8478252	0.819086395	0.844936302	0.946653703	6825	-1791	155	1913	-5975	727557997	1471486214	3875076033	-7294133718	-1710463490	7/16/1992	8/20/1993	1	1	75	527	5	4
T30234474	0.445592657	0.152457361	0.853786227	0.516253048	868	2928	5936	1013	4460	-9380655288	-3856662660	1733620230	-3080786259	-4608502	4/23/1988	5/17/1988	1	1	102	116	4	1
T30234475	0.477493449	0.289541381	0.313744474	0.215570813	1572	-2380	-2168	6494	-7754	-5981895123	1002571937	2678820630	3605333280	-9085367439	2/4/1993	1/5/1992	1	1	500	474	2	7
T30234476	0.901305394	0.517412448	0.221262578	0.762514808	-3766	3460	-8507	-9995	352	113255215	-9523695626	-8964945618	-5968758767	-4867801400	7/25/1990	9/17/1988	1	1	539	26	2	9
T30234477	0.623784953	0.863132146	0.688116291	0.742249335	-2547	-8679	-4913	2928	3217	7458909479	-9233275950	-5315441472	6505197318	3743621959	3/26/1990	2/27/1988	1	4	582	805	5	5
T30234478	0.837805866	0.39745324	0.121683004	0.459216344	-1393	6752	-3743	8709	6672	-3375557640	1861591059	-2373718756	-8418890593	-3613123553	1/3/1991	12/21/1993	1	1	211	551	7	6
T30234479	0.174089084	0.173308281	0.055836649	0.778540173	725	-8307	-3839	4462	-606	3419825624	-3173240253	3984267661	363297939	-3117421085	9/11/1988	4/14/1994	1	1	168	203	1	7
T30234480	0.812671352	0.583719139	0.973571636	0.018428462	5916	-5527	8232	-8042	-7857	9848697052	-9556797127	9384577315	672124962	-6900217339	1/21/1989	1/9/1988	2	2	704	701	1	3
